rank,keyword,score
1,폴란드 대선,66.4
2,클로드,66.0
3,김부선,65.6
4,헤일리 스타인펠드,65.6
5,박세진,65.2
6,건강보험,64.8
7,현대오토에버,64.0
8,김용빈,63.2
9,네스프레소,62.8
10,김기천,62.4
11,짐 로저스,61.6
12,투표 시간,60.8
13,트렌드,60.0
14,올스타 투표,59.6
15,윤시윤,58.0
16,giá vàng hôm nay,58.0
17,신명,56.0
18,창원 버스 파업,56.0
19,삼성페이,55.2
20,하지원,54.8
21,kbo,54.0
22,토마스 프랭크,54.0
23,tian tian,54.0
24,마테우스 쿠냐,54.0
25,이가 시비옹테크,54.0
26,roland garros,54.0
27,k리그1 순위,54.0
28,두산 베어스,54.0
29,현충일,53.6
30,손효숙,53.2
31,ตรวจหวย,52.0
32,이세희,52.0
33,김태훈,52.0
34,키스트론,52.0
35,대통령,52.0
36,하이패스,52.0
37,공무원연금공단,52.0
38,f1,52.0
39,선거일,52.0
40,시프트업,52.0
41,정철원,52.0
42,6월,52.0
43,타이브레이커,52.0
44,หวย,52.0
45,비즈플레이,52.0
46,기상청,52.0
47,강선우,52.0
48,이동욱,52.0
49,이승윤,52.0
50,티빙,52.0
51,현대카드,52.0
52,byd,52.0
53,황준서,52.0
54,계명대학교,52.0
55,수원삼성,52.0
56,국립생태원,52.0
57,기후동행카드,52.0
58,cricbuzz,52.0
59,덱스,52.0
60,lpl,52.0
61,미지의서울,52.0
62,대리투표,52.0
63,마이진,52.0
64,lpga,52.0
65,정훈희,52.0
66,나승엽,52.0
67,정석용,52.0
68,taco,52.0
69,김지미,52.0
70,프랑스오픈,52.0
71,강다니엘,52.0
72,조이현,52.0
73,이준혁,52.0
74,노경은,52.0
75,레고랜드,52.0
76,나인퍼즐,52.0
77,구자욱,52.0
78,이호성,52.0
79,wordle,52.0
80,날씨,48.8
81,대구 대 광주,46.8
82,포항 대 강원,45.6
83,김천상무 대 수원,44.8
84,weather,44.0
85,일기예보,44.0
86,west indies vs england,41.6
87,mi vs pbks,41.2
88,한화 대 nc,40.8
89,천안시티 대 인천,40.4
90,kia 대 kt,40.4
91,bangladesh vs pakistan,40.4
