rank,keyword,score
1,현충일 사이렌,66.8
2,롯데시네마,65.2
3,게임,64.0
4,이정후,62.8
5,이더리움,62.4
6,tây ban nha đấu với pháp,62.0
7,트렌드,60.0
8,테슬라 주가,60.0
9,우진영 박준휘,59.6
10,현충일 태극기,58.8
11,world cup qualifiers,56.8
12,tsla,56.4
13,스페인 축구 국가대표팀,56.0
14,대통령 재판 중지법,56.0
15,оаэ – узбекистан,56.0
16,이재명 트럼프 통화,56.0
17,오광수 민정 수석,56.0
18,kualifikasi piala dunia,56.0
19,nintendo switch 2,56.0
20,6월6일,54.8
21,칠레 대 아르헨티나,54.4
22,채상병,54.4
23,제프리 엡스타인,54.4
24,오클라호마시티 대 인디애나,54.0
25,김건희 사진사,54.0
26,비트코인 시세,54.0
27,나인 퍼즐,54.0
28,트럼프 통화,54.0
29,싸이 흠뻑쇼,54.0
30,이한주 민주연구원장,54.0
31,스위치 2,54.0
32,브로드컴 주가,54.0
33,이가 시비옹테크,54.0
34,팔란티어 주가,54.0
35,한국 호주,54.0
36,카이스트 폭발,54.0
37,kia 타이거즈,54.0
38,채상병 사건,54.0
39,카카오 주가,54.0
40,셰르키,53.6
41,파라과이 대 우루과이,52.8
42,ecuador vs brazil,52.0
43,이완규,52.0
44,해수부,52.0
45,광장,52.0
46,한국,52.0
47,쿠팡플레이,52.0
48,김경수,52.0
49,이무진,52.0
50,이중구,52.0
51,진종오,52.0
52,박수민,52.0
53,crcl,52.0
54,g7,52.0
55,놀티켓,52.0
56,대북송금,52.0
57,대도서관,52.0
58,twitch,52.0
59,최강욱,52.0
60,xrp,52.0
61,오세훈,52.0
62,프랑스,52.0
63,이진숙,52.0
64,주현영,52.0
65,팔란티어,52.0
66,장동민,52.0
67,kbs2,52.0
68,lpl,52.0
69,코인니스,52.0
70,레이븐코인,52.0
71,kbs,52.0
72,이호성,52.0
73,정은숙,52.0
74,김상욱,52.0
75,소재원,52.0
76,최강희,52.0
77,이철규,52.0
78,류현진,52.0
79,조성환,52.0
80,해단식,52.0
81,크롬,52.0
82,박지원,52.0
83,위키드,52.0
84,손효숙,52.0
85,김구,52.0
86,이억원,52.0
87,주진우,52.0
88,안치홍,52.0
89,정진석,52.0
90,안성재,52.0
91,공화국,52.0
92,토스퀴즈,52.0
93,박찬호,52.0
94,하영민,52.0
95,솔트룩스,52.0
96,국립생태원,52.0
97,srt,52.0
98,한국은행,52.0
99,이순신,52.0
100,에콰도르 대 브라질,51.6
101,이라크 대 한국,48.0
102,인도네시아 대 중국,47.6
103,스페인 대 프랑스,47.2
104,호주 대 일본,46.8
105,spain vs france,42.4
106,indonesia vs cina,40.4
107,spanyol vs prancis,40.4
108,australia vs jepang,40.4
