keyword,title,description,link,pub_date,source
폴란드 대선,"친비트코인 성향 나브로츠키, 폴란드 대선 승리",폴란드 역시 디지털 자산 친화 정책을 본격화할 가능성이 커졌다. 일부 암호화폐 전문가들은 “폴란드 대선 결과는 유럽 내 비트코인 수용 확산의 신호탄”이라며 “이를 계기로 정책 변화가 가속화될 수 있다”고 평가했다.,https://www.tokenpost.kr/news/breaking/253458,"Mon, 02 Jun 2025 17:10:00 +0900",
폴란드 대선,'親트럼프' 폴란드 대통령 당선에…EU &quot;공동 안보 노력하자&quot;,‘친(親)트럼프 대 친유럽’의 구도 속에 치러진 이번 폴란드 대선은 두 후보 간 박빙의 승부를 겨뤘다. 폴란드 선거관리위원회는 대선 결선투표 개표 결과 야권 법과정의당(PiS)의 지지를 받은 나브로츠키 후보가 50.89%의... ,https://n.news.naver.com/mnews/article/018/0006029907?sid=104,"Mon, 02 Jun 2025 16:58:00 +0900",
폴란드 대선,"[초점] 새 폴란드 대통령 나브로츠키, 어떤 인물인가…한국 새 정부의 ...","한편, 폴란드의 이번 대선 결과는 중·동유럽 정치지형에도 적잖은 파장을 불러올 전망이다. 특히 나브로츠키가 우크라이나 문제와 관련해 헝가리의 오르반 총리나 슬로바키아의 피초 총리와는 달리 군사적 지원은... ",http://www.g-enews.com/ko-kr/news/article/news_all/2025060216523862639a1f309431_1/article.html,"Mon, 02 Jun 2025 16:54:00 +0900",
폴란드 대선,폴란드 대선서 ‘親트럼프 우파’ 무소속 나브로츠키 승리,"이번 폴란드 대선은 EU와의 협력을 강조하는 여당과 EU의 영향력에서 벗어나야 한다는 민족주의 우파 야당 법과정의당(PiS)의 맞대결 양상으로 치러졌다. 나보르츠키는 무소속이지만, 우파 성향을 보여 PiS의 지지를... ",https://n.news.naver.com/mnews/article/020/0003638897?sid=104,"Mon, 02 Jun 2025 16:52:00 +0900",
폴란드 대선,[속보] 폴란드 대선 결선서 유럽회의론자 나브로츠키 당선…개혁 노선 ...,"이번 대선은 우크라이나와 러시아는 물론, 미국과 EU에서도 큰 관심을 끌었다. 나브로츠키의 집권으로 폴란드의 대외 정책에 변화가 예상되면서 대서양 동맹과 EU 내부 균열에 대한 우려도 커지고 있다고 로이터는... ",http://www.g-enews.com/ko-kr/news/article/news_all/2025060216431596049a1f309431_1/article.html,"Mon, 02 Jun 2025 16:46:00 +0900",
클로드,[주간 리포트] 젠슨 황이 내세우는 대만 중심 AI 세계관,"앤트로픽, 클로드4 모델군 출시 SKT 해킹사고, IMEI·개인정보 포함 정황 확인 한국MS, 10월 ‘윈도우10’ 지원 종료 앞두고 ‘윈도우11’ 전환 독려 SAP, 최고 수준 SLA에 라이선스 50% 프리미엄 논란 딥다이브... ",https://byline.network/?p=9004111222566291,"Mon, 02 Jun 2025 17:08:00 +0900",
클로드,AI와 일자리의 종말: 성급한 호들갑 vs. 기술적 필연,"클로드, 제미나이, 그록 모델은 종료 명령을 준수했으나, 오픈AI o3, o4-미니, 코덱스-미니는 명령을... 클로드 3.7 소넷이나 제미나이 2.5 프로도 종료 허용 명령이 없는 경우에는 시스템 종료 절차를 방해하려고 했다.... ",https://slownews.kr/138109,"Mon, 02 Jun 2025 17:06:00 +0900",
클로드,"'EPL 역대 최고 미드필더 TOP 25' … '2개의 심장' 박지성, 당당히 18위 ...",클로드 마켈렐레(첼시·144·2) 12. 데이비드 베컴(맨체스터 유나이티드·265·6) 11. 세스크 파브레가스(아스널·첼시·350·2) 10. 은골로 캉테(레스터 시티·첼시·227·2) 9. 야야 투레(맨체스터 시티·230·3) 8. 다비드 실바... ,https://www.newdaily.co.kr/site/data/html/2025/06/02/2025060200357.html,"Mon, 02 Jun 2025 17:00:00 +0900",
클로드,"앤트로픽, AI 기술 발전으로 채용 전략 변경",앤트로픽의 대표 챗봇 '클로드'(Claude)가 코딩 능력을 갖춘 점도 인재 선발 기준에 영향을 미치고 있다. 앤트로픽 대변인 스티브 므니크는 클로드를 활용해 생산성을 극대화하는 인재라면 신입이라도 채용할 수... ,https://www.jemin.com/news/articleView.html?idxno=807956,"Mon, 02 Jun 2025 16:50:00 +0900",
클로드,코드조작·협박·자기복제…인간통제 벗으려는 AI 진화 어디로?,AI 모델 서비스업체 앤스로픽은 올해 5월 '클로드 오푸스 4'를 내놓으면서 우려스러운 모델의 거동을... 앤스로픽의 다른 모델인 '클로드 3.7 소네트'는 이전에 테스트를 통과하기 위해 부정행위를 저지르는 사례가... ,https://n.news.naver.com/mnews/article/001/0015427291?sid=105,"Mon, 02 Jun 2025 16:08:00 +0900",
김부선,"동국대학교 약학연수원, '제2차 제약혁신기술 역량강화 교육' 진행","신청기간은 오는 4일까지이며, 2차 교육 후 7월과 8월에 3·4차 교육이 진행된다. 3·4차 교육에는 황유석 InnovivaSpeciality Therapeutics 박사와 김부선 동국대학교 제약·바이오산업학과 교수가 참여한다.",http://www.hitnews.co.kr/news/articleView.html?idxno=65232,"Mon, 02 Jun 2025 16:04:00 +0900",
